candidate_id,job_id,human_label,human_rank
C01,J01,strong,1
C02,J01,strong,2
C03,J01,medium,3
C04,J01,medium,4
C05,J01,medium,5
C06,J01,weak,6
C07,J01,weak,7
C08,J01,weak,8
C09,J01,weak,9
C10,J01,weak,10
C02,J02,strong,1
C04,J02,strong,2
C01,J02,medium,3
C03,J02,medium,4
C05,J02,medium,5
C06,J02,weak,6
C07,J02,weak,7
C08,J02,weak,8
C09,J02,weak,9
C10,J02,weak,10
C05,J03,strong,1
C03,J03,strong,2
C01,J03,medium,3
C02,J03,medium,4
C04,J03,medium,5
C06,J03,weak,6
C07,J03,weak,7
C08,J03,weak,8
C09,J03,weak,9
C10,J03,weak,10
